"Story","Title","Result","Date","Stability","Duration (s)"
"Search by keyword story","Searching by keyword banana should display the corresponding article","ERROR","2020-05-17T00:46:32.798+03:00[Europe/Bucharest]","0.0","46.18"
"Search by keyword story","Searching by keyword apple should display the corresponding article","ERROR","2020-05-17T00:47:19.476+03:00[Europe/Bucharest]","0.0","45.3"
